feature,quantity_correlation,amount_correlation,delivery_correlation
배송소요시간,0.03332591758367188,0.018282225342034334,1.0
clicks,0.02969944752831543,0.03331333381227819,-0.0041838049074815215
conversions,0.022344514016880562,0.021026247911119983,-0.0207314229870042
roas,-0.01680048652378165,-0.002183132669645501,0.011510405294051786
spend,0.016018791202648413,0.03054904662043277,-0.02212469224282127
impressions,0.013621927120294513,0.02594908162854694,-0.01241054717765298
평점,0.004028582687582217,-0.0036447388074408115,0.003808093119694571
